"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","060990011003","CA","060990011003","=""060990011003""","93.08","2019-2023","2022","Census","California (State)"
"Block Group","060990011004","CA","060990011004","=""060990011004""","92.07","2019-2023","2022","Census","California (State)"
"Block Group","060990012001","CA","060990012001","=""060990012001""","92.31","2019-2023","2022","Census","California (State)"
"Block Group","060990012002","CA","060990012002","=""060990012002""","96.34","2019-2023","2022","Census","California (State)"
"Block Group","060990012003","CA","060990012003","=""060990012003""","67.94","2019-2023","2022","Census","California (State)"
"Block Group","060990013001","CA","060990013001","=""060990013001""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","060990013002","CA","060990013002","=""060990013002""","88.25","2019-2023","2022","Census","California (State)"
"Block Group","060990013003","CA","060990013003","=""060990013003""","95.15","2019-2023","2022","Census","California (State)"
"Block Group","060990013004","CA","060990013004","=""060990013004""","86.32","2019-2023","2022","Census","California (State)"
"Block Group","060990013005","CA","060990013005","=""060990013005""","63.86","2019-2023","2022","Census","California (State)"
"Block Group","060990013006","CA","060990013006","=""060990013006""","93.40","2019-2023","2022","Census","California (State)"
"Block Group","060990014001","CA","060990014001","=""060990014001""","97.16","2019-2023","2022","Census","California (State)"
"Block Group","060990014002","CA","060990014002","=""060990014002""","87.38","2019-2023","2022","Census","California (State)"
"Block Group","060990014003","CA","060990014003","=""060990014003""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","060990014004","CA","060990014004","=""060990014004""","88.00","2019-2023","2022","Census","California (State)"
"Block Group","060990014005","CA","060990014005","=""060990014005""","82.12","2019-2023","2022","Census","California (State)"
"Block Group","060990015001","CA","060990015001","=""060990015001""","93.71","2019-2023","2022","Census","California (State)"
"Block Group","060990015002","CA","060990015002","=""060990015002""","98.81","2019-2023","2022","Census","California (State)"
"Block Group","060990015003","CA","060990015003","=""060990015003""","92.62","2019-2023","2022","Census","California (State)"
"Block Group","060990015004","CA","060990015004","=""060990015004""","54.99","2019-2023","2022","Census","California (State)"
"Block Group","060990016011","CA","060990016011","=""060990016011""","86.22","2019-2023","2022","Census","California (State)"
"Block Group","060990016012","CA","060990016012","=""060990016012""","91.70","2019-2023","2022","Census","California (State)"
"Block Group","060990016013","CA","060990016013","=""060990016013""","94.74","2019-2023","2022","Census","California (State)"
"Block Group","060990016031","CA","060990016031","=""060990016031""","97.16","2019-2023","2022","Census","California (State)"
"Block Group","060990016032","CA","060990016032","=""060990016032""","95.96","2019-2023","2022","Census","California (State)"
"Block Group","060990016033","CA","060990016033","=""060990016033""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","060990016034","CA","060990016034","=""060990016034""","89.36","2019-2023","2022","Census","California (State)"
"Block Group","060990016041","CA","060990016041","=""060990016041""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","060990016042","CA","060990016042","=""060990016042""","94.71","2019-2023","2022","Census","California (State)"
"Block Group","060990016043","CA","060990016043","=""060990016043""","95.39","2019-2023","2022","Census","California (State)"
"Block Group","060990017001","CA","060990017001","=""060990017001""","99.09","2019-2023","2022","Census","California (State)"
"Block Group","060990017002","CA","060990017002","=""060990017002""","86.57","2019-2023","2022","Census","California (State)"
"Block Group","060990018001","CA","060990018001","=""060990018001""","96.32","2019-2023","2022","Census","California (State)"
"Block Group","060990018002","CA","060990018002","=""060990018002""","80.19","2019-2023","2022","Census","California (State)"
"Block Group","060990018003","CA","060990018003","=""060990018003""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060990019001","CA","060990019001","=""060990019001""","96.37","2019-2023","2022","Census","California (State)"
"Block Group","060990019002","CA","060990019002","=""060990019002""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","060990019003","CA","060990019003","=""060990019003""","88.34","2019-2023","2022","Census","California (State)"
"Block Group","060990019004","CA","060990019004","=""060990019004""","72.73","2019-2023","2022","Census","California (State)"
"Block Group","060990019005","CA","060990019005","=""060990019005""","87.61","2019-2023","2022","Census","California (State)"
"Block Group","060990020021","CA","060990020021","=""060990020021""","92.97","2019-2023","2022","Census","California (State)"
"Block Group","060990020022","CA","060990020022","=""060990020022""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","060990020023","CA","060990020023","=""060990020023""","90.29","2019-2023","2022","Census","California (State)"
"Block Group","060990020041","CA","060990020041","=""060990020041""","91.84","2019-2023","2022","Census","California (State)"
"Block Group","060990020042","CA","060990020042","=""060990020042""","94.05","2019-2023","2022","Census","California (State)"
"Block Group","060990020043","CA","060990020043","=""060990020043""","100.00","2019-2023","2022","Census","California (State)"
"Block Group","060990020044","CA","060990020044","=""060990020044""","90.10","2019-2023","2022","Census","California (State)"
"Block Group","060990020051","CA","060990020051","=""060990020051""","92.98","2019-2023","2022","Census","California (State)"
