"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Block Group","060871202001","CA","060871202001","=""060871202001""","228.78","2019-2023","2022","Census","California (State)"
"Block Group","060871202002","CA","060871202002","=""060871202002""","16.73","2019-2023","2022","Census","California (State)"
"Block Group","060871202003","CA","060871202003","=""060871202003""","49.39","2019-2023","2022","Census","California (State)"
"Block Group","060871203011","CA","060871203011","=""060871203011""","223.74","2019-2023","2022","Census","California (State)"
"Block Group","060871203012","CA","060871203012","=""060871203012""","632.30","2019-2023","2022","Census","California (State)"
"Block Group","060871203013","CA","060871203013","=""060871203013""","119.67","2019-2023","2022","Census","California (State)"
"Block Group","060871203021","CA","060871203021","=""060871203021""","550.49","2019-2023","2022","Census","California (State)"
"Block Group","060871203022","CA","060871203022","=""060871203022""","4495.84","2019-2023","2022","Census","California (State)"
"Block Group","060871204001","CA","060871204001","=""060871204001""","662.33","2019-2023","2022","Census","California (State)"
"Block Group","060871204002","CA","060871204002","=""060871204002""","584.09","2019-2023","2022","Census","California (State)"
"Block Group","060871204003","CA","060871204003","=""060871204003""","90.99","2019-2023","2022","Census","California (State)"
"Block Group","060871204004","CA","060871204004","=""060871204004""","3462.72","2019-2023","2022","Census","California (State)"
"Block Group","060871205001","CA","060871205001","=""060871205001""","98.50","2019-2023","2022","Census","California (State)"
"Block Group","060871205002","CA","060871205002","=""060871205002""","248.21","2019-2023","2022","Census","California (State)"
"Block Group","060871205003","CA","060871205003","=""060871205003""","67.92","2019-2023","2022","Census","California (State)"
"Block Group","060871206001","CA","060871206001","=""060871206001""","817.16","2019-2023","2022","Census","California (State)"
"Block Group","060871206002","CA","060871206002","=""060871206002""","186.98","2019-2023","2022","Census","California (State)"
"Block Group","060871207001","CA","060871207001","=""060871207001""","993.55","2019-2023","2022","Census","California (State)"
"Block Group","060871207002","CA","060871207002","=""060871207002""","856.61","2019-2023","2022","Census","California (State)"
"Block Group","060871207003","CA","060871207003","=""060871207003""","217.02","2019-2023","2022","Census","California (State)"
"Block Group","060871208001","CA","060871208001","=""060871208001""","2768.19","2019-2023","2022","Census","California (State)"
"Block Group","060871208002","CA","060871208002","=""060871208002""","1687.01","2019-2023","2022","Census","California (State)"
"Block Group","060871208003","CA","060871208003","=""060871208003""","1053.04","2019-2023","2022","Census","California (State)"
"Block Group","060871209011","CA","060871209011","=""060871209011""","267.88","2019-2023","2022","Census","California (State)"
"Block Group","060871209012","CA","060871209012","=""060871209012""","4029.22","2019-2023","2022","Census","California (State)"
"Block Group","060871209021","CA","060871209021","=""060871209021""","2014.45","2019-2023","2022","Census","California (State)"
"Block Group","060871209022","CA","060871209022","=""060871209022""","1992.77","2019-2023","2022","Census","California (State)"
"Block Group","060871210001","CA","060871210001","=""060871210001""","243.57","2019-2023","2022","Census","California (State)"
"Block Group","060871210002","CA","060871210002","=""060871210002""","54.92","2019-2023","2022","Census","California (State)"
"Block Group","060871211001","CA","060871211001","=""060871211001""","230.91","2019-2023","2022","Census","California (State)"
"Block Group","060871211002","CA","060871211002","=""060871211002""","664.18","2019-2023","2022","Census","California (State)"
"Block Group","060871212001","CA","060871212001","=""060871212001""","358.38","2019-2023","2022","Census","California (State)"
"Block Group","060871212002","CA","060871212002","=""060871212002""","761.94","2019-2023","2022","Census","California (State)"
"Block Group","060871212003","CA","060871212003","=""060871212003""","407.47","2019-2023","2022","Census","California (State)"
"Block Group","060871213001","CA","060871213001","=""060871213001""","2116.90","2019-2023","2022","Census","California (State)"
"Block Group","060871213002","CA","060871213002","=""060871213002""","6931.06","2019-2023","2022","Census","California (State)"
"Block Group","060871213003","CA","060871213003","=""060871213003""","1374.80","2019-2023","2022","Census","California (State)"
"Block Group","060871214011","CA","060871214011","=""060871214011""","5777.44","2019-2023","2022","Census","California (State)"
"Block Group","060871214012","CA","060871214012","=""060871214012""","7710.11","2019-2023","2022","Census","California (State)"
"Block Group","060871214021","CA","060871214021","=""060871214021""","7869.59","2019-2023","2022","Census","California (State)"
"Block Group","060871214022","CA","060871214022","=""060871214022""","8465.00","2019-2023","2022","Census","California (State)"
"Block Group","060871214031","CA","060871214031","=""060871214031""","4050.51","2019-2023","2022","Census","California (State)"
"Block Group","060871214032","CA","060871214032","=""060871214032""","9837.67","2019-2023","2022","Census","California (State)"
"Block Group","060871215011","CA","060871215011","=""060871215011""","2664.58","2019-2023","2022","Census","California (State)"
"Block Group","060871215012","CA","060871215012","=""060871215012""","5463.54","2019-2023","2022","Census","California (State)"
"Block Group","060871215013","CA","060871215013","=""060871215013""","8576.39","2019-2023","2022","Census","California (State)"
"Block Group","060871215021","CA","060871215021","=""060871215021""","11283.88","2019-2023","2022","Census","California (State)"
"Block Group","060871216011","CA","060871216011","=""060871216011""","11708.71","2019-2023","2022","Census","California (State)"
"Block Group","060871216012","CA","060871216012","=""060871216012""","6002.22","2019-2023","2022","Census","California (State)"
"Block Group","060871216021","CA","060871216021","=""060871216021""","6425.29","2019-2023","2022","Census","California (State)"
