"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","040136172002","AZ","040136172002","=""040136172002""","77.98","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136173001","AZ","040136173001","=""040136173001""","61.55","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136173002","AZ","040136173002","=""040136173002""","79.45","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136173003","AZ","040136173003","=""040136173003""","78.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136174001","AZ","040136174001","=""040136174001""","34.67","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136174002","AZ","040136174002","=""040136174002""","46.88","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136174003","AZ","040136174003","=""040136174003""","81.41","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136174004","AZ","040136174004","=""040136174004""","77.71","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136174005","AZ","040136174005","=""040136174005""","79.02","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136175001","AZ","040136175001","=""040136175001""","100.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136175002","AZ","040136175002","=""040136175002""","87.62","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136175003","AZ","040136175003","=""040136175003""","87.50","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136175004","AZ","040136175004","=""040136175004""","86.89","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136176001","AZ","040136176001","=""040136176001""","77.86","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136176002","AZ","040136176002","=""040136176002""","62.99","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136176003","AZ","040136176003","=""040136176003""","78.30","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136176004","AZ","040136176004","=""040136176004""","51.67","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136177001","AZ","040136177001","=""040136177001""","67.92","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136177002","AZ","040136177002","=""040136177002""","85.98","2019-2023","2022","Census","Arizona (State)"
"Block Group","040136177003","AZ","040136177003","=""040136177003""","92.38","2019-2023","2022","Census","Arizona (State)"
