"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within 45 Minutes Auto Travel Time","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5ar","TimeFrame","GeoVintage","Source","Location"
"Block Group","040050003001","AZ","040050003001","=""040050003001""","10368","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003002","AZ","040050003002","=""040050003002""","11293","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003003","AZ","040050003003","=""040050003003""","11420","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050003004","AZ","040050003004","=""040050003004""","13020","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004001","AZ","040050004001","=""040050004001""","9889","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004002","AZ","040050004002","=""040050004002""","9546","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004003","AZ","040050004003","=""040050004003""","10626","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004004","AZ","040050004004","=""040050004004""","9457","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050004005","AZ","040050004005","=""040050004005""","9787","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005001","AZ","040050005001","=""040050005001""","8409","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005002","AZ","040050005002","=""040050005002""","6989","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005003","AZ","040050005003","=""040050005003""","8886","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005004","AZ","040050005004","=""040050005004""","9459","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050005005","AZ","040050005005","=""040050005005""","8729","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006001","AZ","040050006001","=""040050006001""","7454","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006002","AZ","040050006002","=""040050006002""","9870","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006003","AZ","040050006003","=""040050006003""","9343","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050006004","AZ","040050006004","=""040050006004""","9880","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007001","AZ","040050007001","=""040050007001""","12138","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050007002","AZ","040050007002","=""040050007002""","9732","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008001","AZ","040050008001","=""040050008001""","16056","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008002","AZ","040050008002","=""040050008002""","13443","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050008003","AZ","040050008003","=""040050008003""","14225","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009001","AZ","040050009001","=""040050009001""","2780","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009002","AZ","040050009002","=""040050009002""","6334","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050009003","AZ","040050009003","=""040050009003""","9091","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010001","AZ","040050010001","=""040050010001""","13658","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010002","AZ","040050010002","=""040050010002""","10956","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050010003","AZ","040050010003","=""040050010003""","10994","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011011","AZ","040050011011","=""040050011011""","7620","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011012","AZ","040050011012","=""040050011012""","8650","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011013","AZ","040050011013","=""040050011013""","8319","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011021","AZ","040050011021","=""040050011021""","10300","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011022","AZ","040050011022","=""040050011022""","10898","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011023","AZ","040050011023","=""040050011023""","13850","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050011024","AZ","040050011024","=""040050011024""","11613","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012001","AZ","040050012001","=""040050012001""","12170","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050012002","AZ","040050012002","=""040050012002""","10956","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013011","AZ","040050013011","=""040050013011""","3238","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013012","AZ","040050013012","=""040050013012""","5048","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040050013013","AZ","040050013013","=""040050013013""","2450","2021","2010","EPA Smart Location Database","Arizona (State)"
