"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pct. of People Walking to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranw","TimeFrame","GeoVintage","Source","Location"
"Block Group","040210014032","AZ","040210014032","=""040210014032""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014033","AZ","040210014033","=""040210014033""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014041","AZ","040210014041","=""040210014041""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014042","AZ","040210014042","=""040210014042""","2.45","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014051","AZ","040210014051","=""040210014051""","1.62","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014052","AZ","040210014052","=""040210014052""","13.38","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014053","AZ","040210014053","=""040210014053""","5.60","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014061","AZ","040210014061","=""040210014061""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014062","AZ","040210014062","=""040210014062""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014063","AZ","040210014063","=""040210014063""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014064","AZ","040210014064","=""040210014064""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014071","AZ","040210014071","=""040210014071""","2.98","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014072","AZ","040210014072","=""040210014072""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014081","AZ","040210014081","=""040210014081""","7.84","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210014082","AZ","040210014082","=""040210014082""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210015001","AZ","040210015001","=""040210015001""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210015002","AZ","040210015002","=""040210015002""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210015003","AZ","040210015003","=""040210015003""","1.24","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210016001","AZ","040210016001","=""040210016001""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210016002","AZ","040210016002","=""040210016002""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210016003","AZ","040210016003","=""040210016003""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210016004","AZ","040210016004","=""040210016004""","13.13","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017011","AZ","040210017011","=""040210017011""","0.85","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017041","AZ","040210017041","=""040210017041""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017042","AZ","040210017042","=""040210017042""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017043","AZ","040210017043","=""040210017043""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017051","AZ","040210017051","=""040210017051""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017052","AZ","040210017052","=""040210017052""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017053","AZ","040210017053","=""040210017053""","4.35","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017054","AZ","040210017054","=""040210017054""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017055","AZ","040210017055","=""040210017055""","0.60","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017061","AZ","040210017061","=""040210017061""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017062","AZ","040210017062","=""040210017062""","2.57","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017063","AZ","040210017063","=""040210017063""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017071","AZ","040210017071","=""040210017071""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017072","AZ","040210017072","=""040210017072""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017073","AZ","040210017073","=""040210017073""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017091","AZ","040210017091","=""040210017091""","0.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040210017092","AZ","040210017092","=""040210017092""","5.65","2019-2023","2022","Census","Arizona (State)"
